,sensor_1,sensor_2,sensor_3
2025-08-04 16:12:21.579871,49.99924381969772,50.935861523265174,51.55107109241143
2025-08-04 16:13:21.579871,49.733032703150926,50.18098829183343,51.16749956461677
2025-08-04 16:14:21.579871,49.40021509033699,49.73711390909871,50.628687633313426
2025-08-04 16:15:21.579871,51.01455361340399,49.827714837415144,52.11679362053562
2025-08-04 16:16:21.579871,52.41657788545558,50.87645291428593,52.473884213648205
2025-08-04 16:17:21.579871,52.7649487166438,49.66332835976896,51.00878802520312
2025-08-04 16:18:21.579871,50.743987311420035,51.83837318890933,52.079308055689566
2025-08-04 16:19:21.579871,84.46855690634747,54.10255077527321,54.20716354046875
2025-08-04 16:20:21.579871,53.647172268229326,52.055847685347175,54.51004118012192
2025-08-04 16:21:21.579871,53.00292039200014,55.43552107648568,52.607000561378364
2025-08-04 16:22:21.579871,55.0384924367685,52.78339071550962,53.992739239877565
2025-08-04 16:23:21.579871,53.74551104926181,54.36245915752037,55.458902347655275
2025-08-04 16:24:21.579871,55.06922993053982,54.438721814310995,55.58970963019163
2025-08-04 16:25:21.579871,56.12965816130461,55.28462623200025,55.75170073196056
2025-08-04 16:26:21.579871,56.64227861650576,56.30257337655398,55.4814445455022
2025-08-04 16:27:21.579871,56.69185554330133,55.12169285104938,55.32491524335939
2025-08-04 16:28:21.579871,56.49254690266428,55.65509718899605,56.342654026430516
2025-08-04 16:29:21.579871,56.78834697254758,55.54770811421977,55.853642332521325
2025-08-04 16:30:21.579871,57.90357199129441,59.465361356406056,57.42007873320604
2025-08-04 16:31:21.579871,58.03190912537373,57.25795012419663,59.824296762189974
2025-08-04 16:32:21.579871,56.04979700941143,57.06354570733868,58.012069684333355
2025-08-04 16:33:21.579871,57.8113997278572,57.85059366299511,58.29373509407475
2025-08-04 16:34:21.579871,58.963325490604625,59.28679065740094,59.41937744542622
2025-08-04 16:35:21.579871,57.29733473001778,58.28132936966384,59.52319823822041
2025-08-04 16:36:21.579871,58.99727438351472,58.8338211670348,59.98812285385485
2025-08-04 16:37:21.579871,59.40283223105538,57.5972904827505,57.72602679197752
